Date,Close
12/31/1998,1.534
1/1/1999,1.534
1/4/1999,1.5268
1/5/1999,1.5148
1/6/1999,1.5104
1/7/1999,1.5127
1/8/1999,1.5124
1/11/1999,1.5059
1/12/1999,1.5133
1/13/1999,1.52
1/14/1999,1.5342
1/15/1999,1.5281
1/18/1999,1.527
1/19/1999,1.5304
1/20/1999,1.5217
1/21/1999,1.5187
1/22/1999,1.5186
1/25/1999,1.5176
1/26/1999,1.5199
1/27/1999,1.5203
1/28/1999,1.5184
1/29/1999,1.5105
2/1/1999,1.5089
2/2/1999,1.5146
2/3/1999,1.5129
2/4/1999,1.4929
2/5/1999,1.4893
2/8/1999,1.4909
2/9/1999,1.4958
2/10/1999,1.4891
2/11/1999,1.4933
2/12/1999,1.4929
2/15/1999,1.4935
2/16/1999,1.495
2/17/1999,1.4955
2/18/1999,1.487
2/19/1999,1.4884
2/22/1999,1.496
2/23/1999,1.4962
2/24/1999,1.4974
2/25/1999,1.5096
2/26/1999,1.5102
3/1/1999,1.5222
3/2/1999,1.5204
3/3/1999,1.5266
3/4/1999,1.5248
3/5/1999,1.5199
3/8/1999,1.5152
3/9/1999,1.5177
3/10/1999,1.5222
3/11/1999,1.5243
3/12/1999,1.5236
3/15/1999,1.526
3/16/1999,1.5276
3/17/1999,1.5211
3/18/1999,1.5174
3/19/1999,1.5155
3/22/1999,1.5037
3/23/1999,1.507
3/24/1999,1.5077
3/25/1999,1.5076
3/26/1999,1.5142
3/29/1999,1.5138
3/30/1999,1.5116
3/31/1999,1.5087
4/1/1999,1.4984
4/2/1999,1.496
4/5/1999,1.5025
4/6/1999,1.5027
4/7/1999,1.4993
4/8/1999,1.5001
4/9/1999,1.5003
4/12/1999,1.4936
4/13/1999,1.4905
4/14/1999,1.4938
4/15/1999,1.4885
4/16/1999,1.479
4/19/1999,1.4855
4/20/1999,1.4905
4/21/1999,1.4874
4/22/1999,1.4814
4/23/1999,1.4757
4/26/1999,1.4757
4/27/1999,1.4791
4/28/1999,1.4772
4/29/1999,1.4663
4/30/1999,1.4585
5/3/1999,1.4479
5/4/1999,1.4531
5/5/1999,1.451
5/6/1999,1.4545
5/7/1999,1.4567
5/10/1999,1.4592
5/11/1999,1.4535
5/12/1999,1.4596
5/13/1999,1.4588
5/14/1999,1.4637
5/17/1999,1.459
5/18/1999,1.4639
5/19/1999,1.4674
5/20/1999,1.466
5/21/1999,1.4607
5/24/1999,1.4545
5/25/1999,1.4655
5/26/1999,1.4724
5/27/1999,1.4755
5/28/1999,1.4739
5/31/1999,1.473
6/1/1999,1.4836
6/2/1999,1.4798
6/3/1999,1.4759
6/4/1999,1.4699
6/7/1999,1.4687
6/8/1999,1.4715
6/9/1999,1.4731
6/10/1999,1.4628
6/11/1999,1.4616
6/14/1999,1.4603
6/15/1999,1.4621
6/16/1999,1.4593
6/17/1999,1.464
6/18/1999,1.4642
6/21/1999,1.4711
6/22/1999,1.4711
6/23/1999,1.4718
6/24/1999,1.4719
6/25/1999,1.465
6/28/1999,1.4686
6/29/1999,1.478
6/30/1999,1.4656
7/1/1999,1.4718
7/2/1999,1.4631
7/5/1999,1.467
7/6/1999,1.4707
7/7/1999,1.4694
7/8/1999,1.4721
7/9/1999,1.4734
7/12/1999,1.4787
7/13/1999,1.4822
7/14/1999,1.4807
7/15/1999,1.4823
7/16/1999,1.4833
7/19/1999,1.49
7/20/1999,1.4912
7/21/1999,1.4998
7/22/1999,1.5075
7/23/1999,1.5075
7/26/1999,1.5093
7/27/1999,1.5134
7/28/1999,1.506
7/29/1999,1.5059
7/30/1999,1.5045
8/2/1999,1.505
8/3/1999,1.4932
8/4/1999,1.4901
8/5/1999,1.4965
8/6/1999,1.5039
8/9/1999,1.5029
8/10/1999,1.4991
8/11/1999,1.4868
8/12/1999,1.4861
8/13/1999,1.4758
8/16/1999,1.4838
8/17/1999,1.4788
8/18/1999,1.483
8/19/1999,1.4934
8/20/1999,1.4959
8/23/1999,1.4989
8/24/1999,1.495
8/25/1999,1.4973
8/26/1999,1.5011
8/27/1999,1.489
8/30/1999,1.4932
8/31/1999,1.4936
9/1/1999,1.4893
9/2/1999,1.4945
9/3/1999,1.4925
9/6/1999,1.4905
9/7/1999,1.491
9/8/1999,1.4885
9/9/1999,1.4786
9/10/1999,1.4758
9/13/1999,1.4696
9/14/1999,1.4746
9/15/1999,1.4756
9/16/1999,1.4763
9/17/1999,1.471
9/20/1999,1.4779
9/21/1999,1.4754
9/22/1999,1.4701
9/23/1999,1.4715
9/24/1999,1.474
9/27/1999,1.4706
9/28/1999,1.4612
9/29/1999,1.4649
9/30/1999,1.4675
10/1/1999,1.4771
10/4/1999,1.4698
10/5/1999,1.4725
10/6/1999,1.4688
10/7/1999,1.4725
10/8/1999,1.474
10/11/1999,1.473
10/12/1999,1.4743
10/13/1999,1.4819
10/14/1999,1.4813
10/15/1999,1.4883
10/18/1999,1.4955
10/19/1999,1.4913
10/20/1999,1.4873
10/21/1999,1.4816
10/22/1999,1.4768
10/25/1999,1.4717
10/26/1999,1.4745
10/27/1999,1.472
10/28/1999,1.4737
10/29/1999,1.4709
11/1/1999,1.4681
11/2/1999,1.4683
11/3/1999,1.4677
11/4/1999,1.4625
11/5/1999,1.4667
11/8/1999,1.47
11/9/1999,1.4741
11/10/1999,1.4695
11/11/1999,1.4665
11/12/1999,1.463
11/15/1999,1.4641
11/16/1999,1.4638
11/17/1999,1.4696
11/18/1999,1.4654
11/19/1999,1.4616
11/22/1999,1.4616
11/23/1999,1.4663
11/24/1999,1.4655
11/25/1999,1.467
11/26/1999,1.4691
11/29/1999,1.475
11/30/1999,1.4735
12/1/1999,1.4743
12/2/1999,1.4808
12/3/1999,1.4796
12/6/1999,1.4738
12/7/1999,1.4754
12/8/1999,1.4787
12/9/1999,1.4748
12/10/1999,1.4774
12/13/1999,1.4788
12/14/1999,1.4804
12/15/1999,1.4829
12/16/1999,1.4763
12/17/1999,1.4783
12/20/1999,1.4794
12/21/1999,1.4766
12/22/1999,1.477
12/23/1999,1.4688
12/24/1999,1.469
12/27/1999,1.4585
12/28/1999,1.448
12/29/1999,1.4533
12/30/1999,1.453
12/31/1999,1.4472
1/3/2000,1.4451
1/4/2000,1.4519
1/5/2000,1.4483
1/6/2000,1.4592
1/7/2000,1.4559
1/10/2000,1.4552
1/11/2000,1.4559
1/12/2000,1.4536
1/13/2000,1.45
1/14/2000,1.4514
1/17/2000,1.4491
1/18/2000,1.4505
1/19/2000,1.4522
1/20/2000,1.4466
1/21/2000,1.4387
1/24/2000,1.4425
1/25/2000,1.4369
1/26/2000,1.438
1/27/2000,1.435
1/28/2000,1.4442
1/31/2000,1.4476
2/1/2000,1.4468
2/2/2000,1.4383
2/3/2000,1.4405
2/4/2000,1.4415
2/7/2000,1.4466
2/8/2000,1.4474
2/9/2000,1.4441
2/10/2000,1.448
2/11/2000,1.4509
2/14/2000,1.4556
2/15/2000,1.4549
2/16/2000,1.4544
2/17/2000,1.452
2/18/2000,1.4498
2/21/2000,1.454
2/22/2000,1.4635
2/23/2000,1.462
2/24/2000,1.4548
2/25/2000,1.4494
2/28/2000,1.4502
2/29/2000,1.4506
3/1/2000,1.4483
3/2/2000,1.4567
3/3/2000,1.4534
3/6/2000,1.4527
3/7/2000,1.4541
3/8/2000,1.457
3/9/2000,1.4582
3/10/2000,1.4585
3/13/2000,1.4615
3/14/2000,1.4649
3/15/2000,1.4679
3/16/2000,1.4749
3/17/2000,1.4713
3/20/2000,1.4704
3/21/2000,1.4685
3/22/2000,1.4697
3/23/2000,1.4684
3/24/2000,1.4636
3/27/2000,1.4606
3/28/2000,1.4528
3/29/2000,1.4572
3/30/2000,1.4544
3/31/2000,1.4496
4/3/2000,1.4509
4/4/2000,1.4532
4/5/2000,1.45
4/6/2000,1.4519
4/7/2000,1.4567
4/10/2000,1.4614
4/11/2000,1.4633
4/12/2000,1.4624
4/13/2000,1.4725
4/14/2000,1.4769
4/17/2000,1.4864
4/18/2000,1.4825
4/19/2000,1.4731
4/20/2000,1.4739
4/21/2000,1.474
4/24/2000,1.477
4/25/2000,1.4708
4/26/2000,1.4742
4/27/2000,1.4765
4/28/2000,1.4816
5/1/2000,1.4791
5/2/2000,1.4866
5/3/2000,1.4918
5/4/2000,1.4978
5/5/2000,1.491
5/8/2000,1.4919
5/9/2000,1.4914
5/10/2000,1.4936
5/11/2000,1.4876
5/12/2000,1.4878
5/15/2000,1.4862
5/16/2000,1.4873
5/17/2000,1.4978
5/18/2000,1.4979
5/19/2000,1.4959
5/22/2000,1.4977
5/23/2000,1.5067
5/24/2000,1.5108
5/25/2000,1.505
5/26/2000,1.5027
